major,degfield_s,Top3_share,HHI,MOS
11,agriculture,0.485276142,0.116347965,0.437191946
13,environment and natural resources,0.402344423,0.083867778,0.369461946
14,architecture,0.645492208,0.183810972,0.385173456
15,"area, ethnic, and civilization studies",0.444498069,0.099067266,0.911342147
19,communications,0.503484278,0.127060005,0.922961617
20,communication technologies,0.553106212,0.157828181,0.381785508
21,computer and information sciences,0.729250421,0.345833357,1.00E-05
22,cosmetology services and culinary arts,0.642599278,0.215348825,0.502657228
23,education administration and teaching,0.773095658,0.441749582,0.930505092
24,engineering,0.711205413,0.218766835,0.199314233
25,engineering technologies,0.533075364,0.11997255,0.278353371
26,linguistics and foreign languages,0.453117207,0.1002097,0.820373215
29,family and consumer sciences,0.485963934,0.11743109,0.997227554
32,law,0.582075472,0.150364899,0.774157075
33,"english language, literature, and composition",0.435115967,0.10481416,0.924239437
34,liberal arts and humanities,0.431670767,0.095857166,0.711490349
36,biology and life sciences,0.397594355,0.085780309,0.558596149
37,mathematics and statistics,0.532226563,0.128768768,0.527805814
40,interdisciplinary and multi-disciplinary studies (general),0.412259391,0.092598903,0.901226713
41,"physical fitness, parks, recreation, and leisure",0.392970091,0.08690188,0.607763011
48,philosophy and religious studies,0.394990366,0.086128116,0.734113167
49,theology and religious vocations,0.501873829,0.129976541,0.472210556
50,physical sciences,0.362095664,0.080899336,0.357004355
51,"nuclear, industrial radiology, and biological technologies",0.779069767,0.473178069,0.625848581
52,psychology,0.414059325,0.096211813,0.92850433
53,criminal justice and fire protection,0.526855106,0.144946037,0.58031753
54,"public affairs, policy, and social work",0.607559496,0.176485865,1.00001
55,social sciences,0.469783195,0.104713669,0.833593676
56,construction services,0.714784264,0.295835252,0.271091517
57,electrical and mechanic repairs and technologies,0.514195584,0.129616177,0.262193608
59,transportation sciences and technologies,0.605230386,0.221250531,0.345016828
60,fine arts,0.523207083,0.137065722,0.707525404
61,medical and health sciences and services,0.798875079,0.488791886,0.820813902
62,business,0.63331728,0.159500602,0.951729653
64,history,0.433979686,0.09557271,0.638232796
