SOC4,ratio
1110,0.016239077524637914
1120,0.020626482801801
1130,0.03381632133178237
1190,0.0770535174437341
1310,0.06224468186324309
1320,0.056532921652819514
1510,0.07171005987987196
1520,0.004009895064437617
1710,0.003939303723846675
1720,0.04038591978982196
1730,0.004037517762929725
1910,0.0038702469776164066
1920,0.006086201234427704
1930,0.001889085657988024
1940,0.003969995611060128
1950,0.00016727078531331813
2110,0.023718690438556376
2120,0.0041388009907341195
2310,0.0013657889809986527
2320,0.006770630319287703
2510,0.003603227558859367
2520,0.07421298328212904
2530,0.006086201234427704
2540,0.0012905938573256931
2590,0.004761846301167213
2710,0.02069093576494925
2720,0.008974307821213619
2730,0.01361338657352702
2740,0.004629871186149365
2910,0.05261970603310427
2920,0.015926020275060692
2990,0.0013611851979166347
3110,0.0029755784653442557
3120,0.0008394231152879359
3190,0.004097366942995958
3310,0.00136425438663798
3320,0.0025750493372086957
3330,0.015637516535254237
3390,0.0050488154466129965
3510,0.004187908010275644
3520,0.0037674291554513394
3530,0.01078052538372532
3590,0.0007642279916149765
3710,0.0013657889809986527
3720,0.0024599547601582474
3730,0.0019427964606115666
3910,0.001192379818242644
3920,0.0016542927208051095
3930,0.0011601533366685185
3940,0.00032073022138058246
3950,0.0019059661959554232
3960,0.0004312210153490128
3970,0.0003498875142333627
3990,0.010260297895457293
4110,0.033320647353285104
4120,0.020279664476288983
4130,0.024645585432402653
4140,0.0174514070695693
4190,0.01112887830359801
4310,0.010476675700312136
4320,0.00038211399580748823
4330,0.013093159085258994
4340,0.03333752789125251
4350,0.010702261071331015
4360,0.01739309248386374
4390,0.020054079105270104
4510,0.00031612643829856456
4520,0.0018323056666431363
4540,0.00019182429508408043
4710,0.0021269477838922837
4720,0.007740493955232813
4740,0.0008946685122721511
4750,0.0005309696487927347
4910,0.0008685804081407162
4920,0.0026701941875703996
4930,0.002117740217728248
4990,0.0036692151163682904
5110,0.00350654811413699
5120,0.0014962295016558273
5130,0.0011325306381764109
5140,0.0014194997836221952
5150,0.0005217620826286987
5160,0.0005800766683342593
5170,0.00019335888944475307
5180,0.0012491598095875317
5190,0.007781928002970975
5310,0.0011064425340449758
5320,0.004358247984310307
5330,0.0044426506741473025
5340,0.0004097366942995958
5350,0.000438893987152376
5360,0.0005202274882680261
5370,0.004752638735003176
5510,0.001058870108864124
5520,0.0010174360611259626
5530,0.000985209579551837
5598,0.00238015585340327
